# VRB Preisstufenmatrix, official PDF printed 'Stand 01.01.2022', 48 zones, directional cells.
# Source: https://www.vrb-online.de/de/service/downloads?file=files/media/service/downloads/tarifinformationen/vrb-preisstufenmatrix.pdf&cid=658
# Source PDF SHA-256: 175c58b14f2c9e94029644fa7a8a0a036af8fa438c5cb6bc4145409b99efa7e6 (publisher Verkehrsverbund Region Braunschweig GmbH).
# Parsed on the parked branch codex/regional-pt-fares by scripts/export_vrb_price_stage_matrix.py (commit 238359cd).
# ASSUMPTION (ADR-0133): the 2022 matrix is applied to the 2026 scenario; VRB still publishes 48 zones in 2026 and
# three current-selector spot checks (40-70 = 2, 40-20 = 3, 40-40 = ST) agreed on 2026-09-23. price_stage: ST = city tariff,
# 1..4 = Preisstufe, '-' = undefined in the source (status undefined). Zones 55/56 = Haemelerwald/Dedenhausen stations.
origin_zone,destination_zone,price_stage,status
55,80,4,defined
55,81,4,defined
55,82,4,defined
55,83,4,defined
55,84,4,defined
55,85,4,defined
55,86,4,defined
55,87,4,defined
55,88,4,defined
55,89,4,defined
55,90,4,defined
56,10,3,defined
56,11,4,defined
56,12,4,defined
56,13,4,defined
56,14,4,defined
56,15,4,defined
56,16,3,defined
56,17,2,defined
56,20,4,defined
56,30,4,defined
56,31,4,defined
56,32,4,defined
56,33,4,defined
56,34,4,defined
56,35,4,defined
56,36,4,defined
56,37,4,defined
56,38,4,defined
56,40,4,defined
56,50,3,defined
56,51,2,defined
56,52,3,defined
56,53,4,defined
56,54,4,defined
56,55,4,defined
56,56,-,undefined
56,60,4,defined
56,70,4,defined
56,71,4,defined
56,72,4,defined
56,73,4,defined
56,74,4,defined
56,75,4,defined
56,76,4,defined
56,77,4,defined
56,78,4,defined
56,79,4,defined
56,80,4,defined
56,81,4,defined
56,82,4,defined
56,83,4,defined
56,84,4,defined
56,85,4,defined
56,86,4,defined
56,87,4,defined
56,88,4,defined
56,89,4,defined
56,90,4,defined
60,10,4,defined
60,11,4,defined
60,12,4,defined
60,13,4,defined
60,14,4,defined
60,15,4,defined
60,16,3,defined
60,17,4,defined
60,20,4,defined
60,30,4,defined
60,31,4,defined
60,32,4,defined
60,33,4,defined
60,34,4,defined
60,35,4,defined
60,36,3,defined
60,37,4,defined
60,38,4,defined
60,40,2,defined
60,50,3,defined
60,51,4,defined
60,52,3,defined
60,53,2,defined
60,54,4,defined
60,55,4,defined
60,56,4,defined
60,60,1,defined
60,70,2,defined
60,71,3,defined
60,72,3,defined
60,73,4,defined
60,74,3,defined
60,75,3,defined
60,76,3,defined
60,77,2,defined
60,78,2,defined
60,79,1,defined
60,80,3,defined
60,81,3,defined
60,82,2,defined
60,83,2,defined
60,84,3,defined
60,85,3,defined
60,86,4,defined
60,87,4,defined
60,88,4,defined
60,89,4,defined
60,90,4,defined
