# Per-source-Kreis one-seat-to-ZGB PT entry stops (rail+bus), EPSG:25832. Generated by scripts/extract_incommuter_pt_entry_stops.py from the cordon transit schedule.
source_ars5,stop_id,x,y
03159,301600.link:200487,612520.2158703852,5720288.286445517
03159,30550.link:14863,586019.7144613509,5731302.328000189
03159,30550.link:14864,586019.7144613509,5731302.328000189
03159,311552.link:836033,590113.3051778568,5734941.989636117
03159,311552.link:836034,590113.3051778568,5734941.989636117
03159,312162.link:28772,586362.8299552344,5741433.166187369
03159,312162.link:28773,586362.8299552344,5741433.166187369
03159,312195.link:29280,592014.0412538447,5722347.3643597625
03159,312195.link:630144,592014.0412538447,5722347.3643597625
03159,312317.link:234495,601406.0003866118,5720596.950039562
03159,31325.link:243681,603083.01818827,5721665.177105846
03159,31325.link:243682,603083.01818827,5721665.177105846
03159,315673.link:83298,601251.705484054,5720459.799970639
03159,317013.link:843657,587492.8018935014,5740443.156522532
03159,318412.link:893866,586996.5106193455,5730425.801182037
03159,321188.link:843967,592920.1067049131,5723159.6877596965
03159,322021.link:667424,609560.4182103362,5723778.463915476
03159,327858.link:815562,590568.0989868166,5735169.976306721
03159,327858.link:815563,590568.0989868166,5735169.976306721
03159,33676.link:583805,609516.4460516945,5720005.516067115
03159,33676.link:583806,609516.4460516945,5720005.516067115
03159,344628.link:2257,585917.0107515604,5740328.973525759
03159,344628.link:2258,585917.0107515604,5740328.973525759
03159,358774.link:172673,607703.1357818914,5717404.681190025
03159,358774.link:172674,607703.1357818914,5717404.681190025
03159,358774.link:443819,607703.1357818914,5717404.681190025
03159,358774.link:549951,607703.1357818914,5717404.681190025
03159,36004.link:190473,582608.4639302582,5737623.348362366
03159,360266.link:5612,609796.3176219529,5722291.603571844
03159,360266.link:5613,609796.3176219529,5722291.603571844
03159,363482.link:113490,601462.992072674,5720562.158624569
03159,373537.link:21159,586109.8512630227,5732301.949191773
03159,373537.link:21160,586109.8512630227,5732301.949191773
03159,373537.link:830802,586109.8512630227,5732301.949191773
03159,373537.link:830803,586109.8512630227,5732301.949191773
03159,373936.link:329681,588192.0233808676,5733044.152554444
03159,37964.link:200472,612640.138072972,5719119.827998642
03159,37964.link:200473,612640.138072972,5719119.827998642
03159,380461.link:85502,609554.6974740076,5722385.381165891
03159,382488.link:21151,586063.985532535,5732091.804053597
03159,382488.link:21152,586063.985532535,5732091.804053597
03159,382488.link:830798,586063.985532535,5732091.804053597
03159,382488.link:832052,586063.985532535,5732091.804053597
03159,382488.link:832060,586063.985532535,5732091.804053597
03159,382587.link:14691,595243.1319013728,5720698.631406961
03159,387454.link:368180,586255.8234445973,5731667.0167781925
03159,387454.link:776838,586255.8234445973,5731667.0167781925
03159,387454.link:932614,586255.8234445973,5731667.0167781925
03159,387454.link:932615,586255.8234445973,5731667.0167781925
03159,39196.link:33950,584152.7437847177,5740475.553623879
03159,39196.link:33951,584152.7437847177,5740475.553623879
03159,392321.link:499697,583848.7667592568,5734267.076481799
03159,392321.link:499698,583848.7667592568,5734267.076481799
03159,392550.link:731720,582941.1328419488,5738068.790396622
03159,394222.link:847540,602978.0779444159,5721389.355022433
03159,394222.link:847541,602978.0779444159,5721389.355022433
03159,394450.link:831769,581987.5445679334,5737980.178313862
03159,398587.link:301486,610537.4929682565,5726337.137694603
03159,401142.link:412284,597909.8832434593,5719950.340035596
03159,409297.link:147488,584650.7393871404,5737994.59863701
03159,414472.link:2580,582019.6962500638,5738800.562346749
03159,418628.link:329682,588045.143909032,5732932.562491356
03159,421710.link:831768,581968.2716583003,5737960.507914335
03159,424374.link:776186,564196.6495094212,5709935.105565591
03159,426584.link:18703,585365.2361760783,5740654.640796329
03159,438235.link:830594,595916.9779479954,5735403.115669371
03159,438950.link:50612,610541.037289026,5726364.807799191
03159,439652.link:602759,601795.5432062745,5721120.430932204
03159,442319.link:636046,588075.4747012486,5730042.273822812
03159,446427.link:108691,587205.4174068931,5730112.808709513
03159,448892.link:114177,609488.3819183648,5722404.527094561
03159,452650.link:876339,609388.4601475731,5715362.52864067
03159,452650.link:876340,609388.4601475731,5715362.52864067
03159,457524.link:58538,602691.1628317169,5722180.872082567
03159,457524.link:58539,602691.1628317169,5722180.872082567
03159,459215.link:602758,601811.9845456867,5721136.003540337
03159,459215.link:887576,601811.9845456867,5721136.003540337
03159,461732.link:672396,587943.0279513237,5730345.885486435
03159,466231.link:176774,587402.3460683813,5731528.136457734
03159,46906.link:362933,584709.3489802383,5740051.718553178
03159,473989.link:432120,611846.4740745155,5716414.972660793
03159,473989.link:432121,611846.4740745155,5716414.972660793
03159,47465.link:836031,589808.4191349564,5734772.563204938
03159,47465.link:836032,589808.4191349564,5734772.563204938
03159,477061.link:818954,607294.3938164659,5717515.824844309
03159,47928.link:127895,599772.9872191092,5719861.03111945
03159,47928.link:832137,599772.9872191092,5719861.03111945
03159,482011.link:333449,595839.9945705316,5734634.796475039
03159,487348.link:521586,607486.9867011447,5713718.080470601
03159,49080.link:682080,602167.4021690111,5721326.183071663
03159,49425.link:131742,585129.708079038,5740066.83095882
03159,49425.link:736152,585129.708079038,5740066.83095882
03159,500981.link:682082,602607.2221036094,5721395.165906355
03159,50584.link:412294,598093.0516448047,5719910.723783358
03159,514400.link:351226,611404.0208439654,5716178.586198588
03159,514400.link:351227,611404.0208439654,5716178.586198588
03159,51459.link:834656,608017.9898029746,5716946.782390873
03159,51459.link:834657,608017.9898029746,5716946.782390873
03159,515020.link:507966,588976.0249357994,5733736.096731512
03159,515923.link:240135,607453.9998754385,5717155.06913155
03159,515923.link:240137,607453.9998754385,5717155.06913155
03159,530132.link:337641,589402.5866240192,5732128.020648572
03159,530132.link:337642,589402.5866240192,5732128.020648572
03159,532614.link:412286,598395.8889608015,5719938.632793533
03159,537835.link:647615,583412.0273842107,5736606.273802796
03159,537835.link:647616,583412.0273842107,5736606.273802796
03159,539100.link:389890,587256.3724115018,5729612.089113908
03159,539538.link:354000,607192.334630964,5714977.925318844
03159,539538.link:354001,607192.334630964,5714977.925318844
03159,54327.link:682081,602624.0009237278,5721393.948888755
03159,544911.link:641622,601000.8126201759,5720183.551560778
03159,544911.link:641623,601000.8126201759,5720183.551560778
03159,552628.link:573637,564253.3619076696,5709915.468495014
03159,556777.link:581347,599791.3447148623,5719860.72571585
03159,558058.link:521538,583648.425082994,5737873.925726387
03159,561749.link:2581,582015.2497828081,5738755.992646651
03159,561803.link:830593,595922.9924458727,5735402.67403116
03159,564970.link:21928,596140.9661419298,5720394.000619277
03159,571061.link:353004,582951.5849981962,5738083.424425502
03159,573242.link:186182,588357.0033002812,5730211.842369715
03159,583011.link:487484,607756.0802703291,5713464.4573470615
03159,583129.link:305198,613366.9038583321,5722293.652459601
03159,583129.link:305199,613366.9038583321,5722293.652459601
