Tabelle: 12251-0104
Erwerbstätige aus Hauptwohnsitzhaushalten: Bundesländer, Jahre, Geschlecht, Stellung im Beruf, Zeitaufwand für den Hinweg zur Arbeitsstätte;;;;;;;;;
Arbeitsmarktstatistik des Mikrozensus;;;;;;;;;;;;;;;
Erwerbstätige aus Hauptwohnsitzhaushalten (1000);;;;;;;;;;;;;;;
;;;;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte
;;;;Unter 10 Minuten;Unter 10 Minuten;10 bis unter 30 Minuten;10 bis unter 30 Minuten;30 bis unter 60 Minuten;30 bis unter 60 Minuten;60 Minuten und mehr;60 Minuten und mehr;Ständig wechselnde Arbeitsstätte;Ständig wechselnde Arbeitsstätte;Insgesamt;Insgesamt
2024;Niedersachsen;Insgesamt;Insgesamt;837;e;1828;e;742;e;166;e;46;e;4062;e
2024;Nordrhein-Westfalen;männlich;Selbstständige ohne Beschäftigte;45;e;31;();/;;/;;/;;198;e
2024;Nordrhein-Westfalen;männlich;Selbstständige mit Beschäftigten;93;e;97;e;28;();/;;/;;291;e
2024;Nordrhein-Westfalen;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Nordrhein-Westfalen;männlich;Beamte;/;;82;e;62;e;30;();/;;205;e
2024;Nordrhein-Westfalen;männlich;Arbeiter und Angestellte;554;e;1740;e;893;e;245;e;58;e;3882;e
2024;Nordrhein-Westfalen;männlich;Auszubildende;29;();86;e;43;e;/;;/;;181;e
2024;Nordrhein-Westfalen;männlich;Insgesamt;742;e;2037;e;1041;e;291;e;88;e;4767;e
2024;Nordrhein-Westfalen;weiblich;Selbstständige ohne Beschäftigte;25;();31;();/;;/;;/;;141;e
2024;Nordrhein-Westfalen;weiblich;Selbstständige mit Beschäftigten;28;();36;e;/;;/;;/;;95;e
2024;Nordrhein-Westfalen;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Nordrhein-Westfalen;weiblich;Beamte;23;();123;e;61;e;/;;/;;231;e
2024;Nordrhein-Westfalen;weiblich;Arbeiter und Angestellte;701;e;1724;e;669;e;139;e;/;;3547;e
2024;Nordrhein-Westfalen;weiblich;Auszubildende;/;;78;e;40;e;/;;/;;165;e
2024;Nordrhein-Westfalen;weiblich;Insgesamt;801;e;1994;e;794;e;169;e;27;();4197;e
2024;Nordrhein-Westfalen;Insgesamt;Selbstständige ohne Beschäftigte;69;e;63;e;25;();/;;28;();339;e
2024;Nordrhein-Westfalen;Insgesamt;Selbstständige mit Beschäftigten;120;e;132;e;39;e;/;;/;;386;e
2024;Nordrhein-Westfalen;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;28;()
2024;Nordrhein-Westfalen;Insgesamt;Beamte;42;e;205;e;123;e;45;e;/;;436;e
2024;Nordrhein-Westfalen;Insgesamt;Arbeiter und Angestellte;1256;e;3464;e;1562;e;384;e;73;e;7429;e
2024;Nordrhein-Westfalen;Insgesamt;Auszubildende;49;e;164;e;84;e;/;;/;;346;e
2024;Nordrhein-Westfalen;Insgesamt;Insgesamt;1544;e;4032;e;1834;e;460;e;115;e;8964;e
2024;Rheinland-Pfalz;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;43;e
2024;Rheinland-Pfalz;männlich;Selbstständige mit Beschäftigten;22;();21;();/;;/;;/;;70;e
2024;Rheinland-Pfalz;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Rheinland-Pfalz;männlich;Beamte;/;;25;();23;();/;;/;;67;e
2024;Rheinland-Pfalz;männlich;Arbeiter und Angestellte;153;e;377;e;189;e;61;e;/;;896;e
2024;Rheinland-Pfalz;männlich;Auszubildende;/;;21;();/;;/;;/;;43;e
2024;Rheinland-Pfalz;männlich;Insgesamt;195;e;451;e;230;e;75;e;23;();1124;e
2024;Rheinland-Pfalz;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;34;e
2024;Rheinland-Pfalz;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;28;()
2024;Rheinland-Pfalz;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
