cell_id,stichtag,ev_share,minx,miny,maxx,maxy,suppressed
5kmN3240E4320,2026-04-01,0.075,1111562.5683000013,6849020.365999997,1119724.2652000003,6857201.1197,False
5kmN3240E4325,2026-04-01,0.063,1119717.673700001,6849009.678900003,1127885.9497999996,6857198.648100004,False
5kmN3240E4330,2026-04-01,0.052000000000000005,1127871.118999999,6848990.7711,1136047.606800001,6857187.937799998,False
5kmN3240E4335,2026-04-01,0.053,1136024.5368000008,6848963.6426,1144209.2208999991,6857168.988899998,False
5kmN3240E4340,2026-04-01,0.065,1144177.9118000008,6848928.2936,1152370.7765999995,6857141.801399998,False
5kmN3240E4345,2026-04-01,0.076,1152331.2287000008,6848884.724399999,1160532.2586000003,6857106.375600003,False
5kmN3240E4350,2026-04-01,0.071,1160484.4721999988,6848832.9353,1168693.6515999995,6857062.711599998,False
5kmN3240E4355,2026-04-01,0.127,1168637.6270000003,6848772.926399998,1176854.940299999,6857010.809799999,False
5kmN3240E4360,2026-04-01,0.065,1176790.6779000014,6848704.698200002,1185016.1092999987,6856950.670400001,False
5kmN3240E4365,2026-04-01,0.064,1184943.6094999984,6848628.251100004,1193177.143199999,6856882.293899998,False
5kmN3240E4370,2026-04-01,0.059000000000000004,1193096.4065999985,6848543.585600004,1201338.0267999992,6856805.680500001,False
5kmN3240E4375,2026-04-01,0.069,1201249.0538000017,6848450.702100001,1209498.7446000017,6856720.830899999,False
5kmN3240E4380,2026-04-01,0.053,1209401.5359999985,6848349.601300001,1217659.2813999988,6856627.745499998,False
5kmN3240E4385,2026-04-01,0.049,1217553.8377999999,6848240.283799998,1225819.6218000017,6856526.424800001,False
5kmN3240E4390,2026-04-01,0.039,1225705.9439999983,6848122.750200003,1233979.750599999,6856416.869599998,False
5kmN3240E4395,2026-04-01,0.018000000000000002,1233857.8392999992,6847997.001199998,1242139.6521999985,6856299.0803999975,False
5kmN3240E4400,2026-04-01,0.032,1242009.5084000006,6847863.037699997,1250299.3115999997,6856173.0581,False
5kmN3240E4405,2026-04-01,0.012,1250160.9360000007,6847720.860299997,1258458.7131999992,6856038.803199999,False
5kmN3240E4410,2026-04-01,0.044000000000000004,1258312.1070000008,6847570.4701000005,1266617.8418999985,6855896.316799998,False
5kmN3240E4415,2026-04-01,0.039,1266463.0058999993,6847411.867799997,1274776.6821999997,6855745.599600002,False
5kmN3240E4420,2026-04-01,0.034,1274613.6176999994,6847245.054499999,1282935.2188999988,6855586.652500004,False
5kmN3240E4425,2026-04-01,0.039,1282763.927000001,6847070.031199999,1291093.4367999993,6855419.476599999,False
5kmN3240E4430,2026-04-01,0.051,1290913.9186000004,6846886.798900001,1299251.3203999996,6855244.072899997,False
5kmN3245E4320,2026-04-01,0.064,1111560.9162999988,6857198.648100004,1119730.8731000014,6865387.667599998,False
5kmN3245E4325,2026-04-01,0.045,1119724.2652000003,6857187.937799998,1127900.817499999,6865385.1906,False
