# MiD 2023 oekonomischer Status x Haushaltstyp x Region.
# Generated by scripts/extract_mid_status_by_hhtype.py from
# mid2023_status_by_hhtype_raumtyp.xlsx (sheet 'MiD Tabellen').
# share_pct = P(hhtype | status, region) in percent; base_weighted =
# weighted base (persons) of the (status, region) cell.
region,hhtype,status,share_pct,base_weighted
stadtregion_mittelstadt,single_30_59,high,6.0,42725.0
stadtregion_kleinstaedtisch,single_30_59,high,4.0,10617.0
laendlich_zentrale_stadt,single_30_59,high,7.0,8719.0
laendlich_mittelstadt,single_30_59,high,5.0,22176.0
laendlich_kleinstaedtisch,single_30_59,high,5.0,25765.0
stadtregion_metropole,single_60_plus,high,6.0,26587.0
stadtregion_regiopole_grossstadt,single_60_plus,high,6.0,21352.0
stadtregion_mittelstadt,single_60_plus,high,5.0,42725.0
stadtregion_kleinstaedtisch,single_60_plus,high,4.0,10617.0
laendlich_zentrale_stadt,single_60_plus,high,5.0,8719.0
laendlich_mittelstadt,single_60_plus,high,4.0,22176.0
laendlich_kleinstaedtisch,single_60_plus,high,4.0,25765.0
stadtregion_metropole,couple_youngest_18_29,high,8.0,26587.0
stadtregion_regiopole_grossstadt,couple_youngest_18_29,high,7.0,21352.0
stadtregion_mittelstadt,couple_youngest_18_29,high,5.0,42725.0
stadtregion_kleinstaedtisch,couple_youngest_18_29,high,4.0,10617.0
laendlich_zentrale_stadt,couple_youngest_18_29,high,7.0,8719.0
laendlich_mittelstadt,couple_youngest_18_29,high,6.0,22176.0
laendlich_kleinstaedtisch,couple_youngest_18_29,high,4.0,25765.0
stadtregion_metropole,couple_youngest_30_59,high,14.0,26587.0
stadtregion_regiopole_grossstadt,couple_youngest_30_59,high,13.0,21352.0
stadtregion_mittelstadt,couple_youngest_30_59,high,12.0,42725.0
stadtregion_kleinstaedtisch,couple_youngest_30_59,high,12.0,10617.0
laendlich_zentrale_stadt,couple_youngest_30_59,high,14.0,8719.0
laendlich_mittelstadt,couple_youngest_30_59,high,13.0,22176.0
laendlich_kleinstaedtisch,couple_youngest_30_59,high,13.0,25765.0
stadtregion_metropole,couple_youngest_60_plus,high,10.0,26587.0
stadtregion_regiopole_grossstadt,couple_youngest_60_plus,high,11.0,21352.0
stadtregion_mittelstadt,couple_youngest_60_plus,high,11.0,42725.0
stadtregion_kleinstaedtisch,couple_youngest_60_plus,high,11.0,10617.0
laendlich_zentrale_stadt,couple_youngest_60_plus,high,12.0,8719.0
laendlich_mittelstadt,couple_youngest_60_plus,high,10.0,22176.0
laendlich_kleinstaedtisch,couple_youngest_60_plus,high,9.0,25765.0
stadtregion_metropole,three_plus_adults,high,9.0,26587.0
stadtregion_regiopole_grossstadt,three_plus_adults,high,11.0,21352.0
stadtregion_mittelstadt,three_plus_adults,high,15.0,42725.0
stadtregion_kleinstaedtisch,three_plus_adults,high,18.0,10617.0
laendlich_zentrale_stadt,three_plus_adults,high,13.0,8719.0
laendlich_mittelstadt,three_plus_adults,high,17.0,22176.0
laendlich_kleinstaedtisch,three_plus_adults,high,18.0,25765.0
stadtregion_metropole,child_under_6,high,18.0,26587.0
stadtregion_regiopole_grossstadt,child_under_6,high,18.0,21352.0
stadtregion_mittelstadt,child_under_6,high,21.0,42725.0
stadtregion_kleinstaedtisch,child_under_6,high,20.0,10617.0
laendlich_zentrale_stadt,child_under_6,high,18.0,8719.0
laendlich_mittelstadt,child_under_6,high,20.0,22176.0
laendlich_kleinstaedtisch,child_under_6,high,19.0,25765.0
stadtregion_metropole,child_under_14,high,13.0,26587.0
stadtregion_regiopole_grossstadt,child_under_14,high,14.0,21352.0
stadtregion_mittelstadt,child_under_14,high,16.0,42725.0
stadtregion_kleinstaedtisch,child_under_14,high,19.0,10617.0
laendlich_zentrale_stadt,child_under_14,high,14.0,8719.0
laendlich_mittelstadt,child_under_14,high,15.0,22176.0
laendlich_kleinstaedtisch,child_under_14,high,17.0,25765.0
stadtregion_metropole,child_under_18,high,5.0,26587.0
stadtregion_regiopole_grossstadt,child_under_18,high,5.0,21352.0
stadtregion_mittelstadt,child_under_18,high,7.0,42725.0
stadtregion_kleinstaedtisch,child_under_18,high,7.0,10617.0
laendlich_zentrale_stadt,child_under_18,high,6.0,8719.0
laendlich_mittelstadt,child_under_18,high,6.0,22176.0
laendlich_kleinstaedtisch,child_under_18,high,8.0,25765.0
stadtregion_metropole,single_parent,high,3.0,26587.0
stadtregion_regiopole_grossstadt,single_parent,high,2.0,21352.0
stadtregion_mittelstadt,single_parent,high,2.0,42725.0
stadtregion_kleinstaedtisch,single_parent,high,1.0,10617.0
laendlich_zentrale_stadt,single_parent,high,1.0,8719.0
laendlich_mittelstadt,single_parent,high,2.0,22176.0
laendlich_kleinstaedtisch,single_parent,high,1.0,25765.0
stadtregion_metropole,not_classifiable,high,1.0,26587.0
stadtregion_regiopole_grossstadt,not_classifiable,high,0.0,21352.0
stadtregion_mittelstadt,not_classifiable,high,0.0,42725.0
stadtregion_kleinstaedtisch,not_classifiable,high,0.0,10617.0
laendlich_zentrale_stadt,not_classifiable,high,0.0,8719.0
laendlich_mittelstadt,not_classifiable,high,0.0,22176.0
laendlich_kleinstaedtisch,not_classifiable,high,1.0,25765.0
stadtregion_metropole,single_18_29,very_high,0.0,13606.0
stadtregion_regiopole_grossstadt,single_18_29,very_high,0.0,8982.0
stadtregion_mittelstadt,single_18_29,very_high,0.0,17965.0
stadtregion_kleinstaedtisch,single_18_29,very_high,0.0,3694.0
laendlich_zentrale_stadt,single_18_29,very_high,0.0,3056.0
laendlich_mittelstadt,single_18_29,very_high,1.0,7414.0
laendlich_kleinstaedtisch,single_18_29,very_high,1.0,7134.0
stadtregion_metropole,single_30_59,very_high,4.0,13606.0
stadtregion_regiopole_grossstadt,single_30_59,very_high,3.0,8982.0
stadtregion_mittelstadt,single_30_59,very_high,2.0,17965.0
stadtregion_kleinstaedtisch,single_30_59,very_high,1.0,3694.0
laendlich_zentrale_stadt,single_30_59,very_high,4.0,3056.0
laendlich_mittelstadt,single_30_59,very_high,2.0,7414.0
laendlich_kleinstaedtisch,single_30_59,very_high,2.0,7134.0
stadtregion_metropole,single_60_plus,very_high,1.0,13606.0
stadtregion_regiopole_grossstadt,single_60_plus,very_high,1.0,8982.0
stadtregion_mittelstadt,single_60_plus,very_high,1.0,17965.0
stadtregion_kleinstaedtisch,single_60_plus,very_high,1.0,3694.0
laendlich_zentrale_stadt,single_60_plus,very_high,2.0,3056.0
laendlich_mittelstadt,single_60_plus,very_high,1.0,7414.0
laendlich_kleinstaedtisch,single_60_plus,very_high,1.0,7134.0
stadtregion_metropole,couple_youngest_18_29,very_high,5.0,13606.0
stadtregion_regiopole_grossstadt,couple_youngest_18_29,very_high,4.0,8982.0
stadtregion_mittelstadt,couple_youngest_18_29,very_high,3.0,17965.0
stadtregion_kleinstaedtisch,couple_youngest_18_29,very_high,2.0,3694.0
laendlich_zentrale_stadt,couple_youngest_18_29,very_high,4.0,3056.0
laendlich_mittelstadt,couple_youngest_18_29,very_high,3.0,7414.0
laendlich_kleinstaedtisch,couple_youngest_18_29,very_high,3.0,7134.0
stadtregion_metropole,couple_youngest_30_59,very_high,19.0,13606.0
stadtregion_regiopole_grossstadt,couple_youngest_30_59,very_high,16.0,8982.0
stadtregion_mittelstadt,couple_youngest_30_59,very_high,14.0,17965.0
stadtregion_kleinstaedtisch,couple_youngest_30_59,very_high,13.0,3694.0
laendlich_zentrale_stadt,couple_youngest_30_59,very_high,17.0,3056.0
laendlich_mittelstadt,couple_youngest_30_59,very_high,14.0,7414.0
laendlich_kleinstaedtisch,couple_youngest_30_59,very_high,12.0,7134.0
stadtregion_metropole,couple_youngest_60_plus,very_high,5.0,13606.0
stadtregion_regiopole_grossstadt,couple_youngest_60_plus,very_high,7.0,8982.0
stadtregion_mittelstadt,couple_youngest_60_plus,very_high,6.0,17965.0
stadtregion_kleinstaedtisch,couple_youngest_60_plus,very_high,5.0,3694.0
laendlich_zentrale_stadt,couple_youngest_60_plus,very_high,7.0,3056.0
laendlich_mittelstadt,couple_youngest_60_plus,very_high,7.0,7414.0
laendlich_kleinstaedtisch,couple_youngest_60_plus,very_high,4.0,7134.0
stadtregion_metropole,three_plus_adults,very_high,7.0,13606.0
stadtregion_regiopole_grossstadt,three_plus_adults,very_high,9.0,8982.0
stadtregion_mittelstadt,three_plus_adults,very_high,12.0,17965.0
stadtregion_kleinstaedtisch,three_plus_adults,very_high,12.0,3694.0
laendlich_zentrale_stadt,three_plus_adults,very_high,11.0,3056.0
laendlich_mittelstadt,three_plus_adults,very_high,13.0,7414.0
laendlich_kleinstaedtisch,three_plus_adults,very_high,16.0,7134.0
stadtregion_metropole,child_under_6,very_high,25.0,13606.0
stadtregion_regiopole_grossstadt,child_under_6,very_high,26.0,8982.0
stadtregion_mittelstadt,child_under_6,very_high,26.0,17965.0
stadtregion_kleinstaedtisch,child_under_6,very_high,27.0,3694.0
laendlich_zentrale_stadt,child_under_6,very_high,27.0,3056.0
laendlich_mittelstadt,child_under_6,very_high,26.0,7414.0
laendlich_kleinstaedtisch,child_under_6,very_high,29.0,7134.0
stadtregion_metropole,child_under_14,very_high,24.0,13606.0
