school_id,name,level,capacity,ags8,kreis5,x,y,geocode_quality,dist_to_osm_edu_m,validated
abs_39251,Hainwaldschule Vöhrum,grundschule,247.0,03157006,03157,579882.0353624348,5799469.136175508,address,13.645166952822,True
abs_40150,Erich Kästner-Hauptschule,sekundar_1,224.0,03158037,03158,606615.839897088,5779635.130449702,address,1.4402751408639298,True
abs_40174,Johannes-Gutenberg-Schule,sekundar_1,136.0,03151024,03151,628498.4018231849,5817092.66578277,address,84.73660690198744,True
abs_41051,Oberschule Papenteich,sekundar_1,611.0,03151027,03151,597908.6021617888,5801700.302748972,address,11.425274539720514,True
abs_41233,Wiethornschule,sekundar_1,184.0,03151011,03151,608896.5265532625,5843882.548912018,address,402.27048084679154,True
abs_41749,Hauptschule Meinersen,sekundar_1,194.0,03151017,03151,590800.4300595268,5814741.976273173,address,6.4512641592876125,True
abs_42298,Bodenstedt-Wilhelmschule Peine,sekundar_1,299.0,03157006,03157,583846.222246721,5796920.575092212,address,2.4864392770001156,True
abs_42468,Wolfsburger Oberschule,sekundar_1,717.0,03103000,03103,618528.0733479437,5807307.962826397,address,36.05597118314509,True
abs_42493,Hauptschule Vorsfelde,sekundar_1,226.0,03103000,03103,624495.597076047,5811952.5812843,address,10.787632028780811,True
abs_44817,Hauptschule am Fredenberg,sekundar_1,223.0,03102000,03102,589239.8655787731,5777631.952591491,address,82.8428248779926,True
abs_44878,Dr. Klaus-Schmidt-Hauptschule SZ-Bad,sekundar_1,208.0,03102000,03102,593533.3804225049,5767674.590845892,address,0.07642602163052462,True
abs_45032,Oberschule Seesen,sekundar_1,565.0,03153012,03153,579875.9596471427,5749163.490593883,address,2.7002344565178933,True
abs_45056,Hauptschule Salzgitter-Thiede,sekundar_1,124.0,03102000,03102,601282.5083763206,5783338.893362196,address,5.382412873535357,True
abs_45068,Oberschule Langelsheim,sekundar_1,299.0,03153019,03153,591189.1641516729,5755141.186401363,address,9.413706540028286,True
abs_45081,Vicco-von Bülow- Oberschule Vienenburg,sekundar_1,292.0,03153017,03153,606531.3093202632,5757296.257990506,address,219.0063948222965,True
abs_45111,Haupt- und Realschule Clausthal-Zellerfeld,sekundar_1,312.0,03153018,03153,591565.5367536199,5740342.209622295,address,223.9051497936968,True
abs_45147,Grund- und Hauptschule Groß Ilsede,grundschule,213.0,03157009,03157,583657.6766714107,5791321.549142747,address,9.471808305745272,True
abs_45147,Grund- und Hauptschule Groß Ilsede,sekundar_1,186.0,03157009,03157,583657.6766714107,5791321.549142747,address,9.471808305745272,True
abs_45160,Schule an der Deilich,sekundar_1,334.0,03153002,03153,605934.8022018305,5750890.469263332,address,0.03968615963377603,True
abs_45196,Hauptschule Hohenhameln,sekundar_1,113.0,03157002,03157,572102.9666727703,5790259.301219092,address,3.5161660112864164,True
abs_45226,Albert-Schweitzer-Schule,sekundar_1,88.0,03157007,03157,593274.6556056272,5790643.340881337,address,0.6962568499770357,True
